iter	RMSE
359	5.26605729
360	5.265239666
361	5.264525613
362	5.263173199
363	5.262177447
364	5.261282561
365	5.260307579
366	5.259237419
367	5.258774461
368	5.257738391
369	5.256732969
370	5.255751659
371	5.25563048
372	5.254901449
373	5.25376767
374	5.25273534
375	5.251570441
376	5.250795915
377	5.249509665
378	5.24878378
379	5.247823226
380	5.246420754
381	5.245667312
382	5.24444867
383	5.243417005
384	5.242406576
385	5.24102442
386	5.240067954
387	5.238982042
388	5.237495376
389	5.235992484
390	5.235319335
391	5.234171935
392	5.233128212
393	5.231842661
394	5.23110131
395	5.229888801
396	5.229224084
397	5.228466183
398	5.227443619
399	5.226409326
400	5.22543501
401	5.224831812
402	5.223854571
403	5.222500807
404	5.221093535
405	5.219673345
406	5.218459629
407	5.217303595
408	5.216305816
409	5.215067169
410	5.213993884
411	5.213260851
412	5.213042286
413	5.211793948
414	5.210738893
415	5.209666357
416	5.208494073
417	5.207274818
418	5.20585873
419	5.204846241
420	5.20284845
421	5.201998266
422	5.201391217
423	5.19982417
424	5.199171644
425	5.198235077
426	5.197778643
427	5.196506271
428	5.195221529
429	5.194052498
430	5.193315177
431	5.192385828
432	5.191499824
433	5.18981691
434	5.188546403
435	5.186998119
436	5.186208121
437	5.185576174
438	5.184971112
439	5.184619108
440	5.183242874
441	5.182363685
442	5.181741965
443	5.180732847
444	5.179695255
445	5.17866734
446	5.178065377
447	5.176898569
448	5.175792756
449	5.174671938
450	5.173403198
451	5.172892498
452	5.171554361
453	5.170924605
454	5.170366863
455	5.169751541
456	5.168754698
457	5.167685605
458	5.167036084
459	5.166102976
460	5.165551406
461	5.164405394
462	5.163655967
463	5.162703809
464	5.16100434
465	5.160025609
466	5.1589151
467	5.157703705
468	5.156850013
469	5.155800587
470	5.154898044
471	5.15374759
472	5.152567954
473	5.151299639
474	5.150426127
475	5.149648843
476	5.148322362
477	5.147901808
478	5.146669267
479	5.145927234
480	5.144440825
481	5.143224741
482	5.142029709
483	5.141057514
484	5.139875397
485	5.139278194
486	5.138487414
487	5.137791784
488	5.136959365
489	5.135733828
490	5.134244773
491	5.133375349
492	5.132728151
493	5.131991174
494	5.131007008
495	5.130004034
496	5.128751476
497	5.127851837
498	5.12686207
499	5.126340533
