iter	Passed	Remaining
421	3325	614
422	3334	607
423	3344	599
424	3353	591
425	3358	583
426	3365	575
427	3371	567
428	3377	558
429	3385	551
430	3394	543
431	3400	535
432	3407	527
433	3414	519
434	3423	511
435	3435	504
436	3458	498
437	3475	491
438	3489	484
439	3507	478
440	3522	471
441	3537	464
442	3550	456
443	3562	449
444	3574	441
445	3582	433
446	3589	425
447	3597	417
448	3606	409
449	3613	401
450	3621	393
451	3630	385
452	3639	377
453	3648	369
454	3653	361
455	3659	353
456	3664	344
457	3669	336
458	3675	328
459	3680	320
460	3686	311
461	3693	303
462	3699	295
463	3704	287
464	3710	279
465	3716	271
466	3722	263
467	3728	254
468	3733	246
469	3738	238
470	3744	230
471	3749	222
472	3754	214
473	3760	206
474	3767	198
475	3772	190
476	3777	182
477	3781	174
478	3785	165
479	3791	157
480	3798	150
481	3803	142
482	3809	134
483	3815	126
484	3820	118
485	3825	110
486	3830	102
487	3835	94
488	3840	86
489	3845	78
490	3850	70
491	3855	62
492	3859	54
493	3864	46
494	3869	39
495	3875	31
496	3881	23
497	3886	15
498	3892	7
499	3897	0
